ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON
HG;200370/26;4;;;20260131;20260131;4E3581E67B;AA8AD085ED;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;73359;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;5;;;20260131;20260131;4E3581E67B;A0DC779836;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37864;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;6;;;20260131;20260131;4E3581E67B;E536AE5604;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;73359;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;7;;;20260131;20260131;4E3581E67B;C4E51150A8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37864;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;8;;;20260131;20260131;4E3581E67B;F99880CA2C;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;73359;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;9;;;20260131;20260131;4E3581E67B;F4C392C29C;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;199828;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;10;;;20260131;20260131;4E3581E67B;B490984A91;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;34005;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;11;;;20260131;20260131;4E3581E67B;FB7B4A2F1A;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;55020;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200370/26;12;;;20260131;20260131;4E3581E67B;A30BBBB2D1;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;55020;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200371/26;1;;;20260131;20260131;4E3581E67B;1B84FAB73E;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;74124;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200372/26;1;;;20260131;20260131;4E3581E67B;D8C834F5E5;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;103544;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200372/26;2;;;20260131;20260131;4E3581E67B;17E02426D5;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;103544;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200373/26;1;;;20260131;20260131;4E3581E67B;7EE56858E8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;167733;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200373/26;2;;;20260131;20260131;4E3581E67B;25629920C4;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;167733;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;1;;;20260131;20260131;4E3581E67B;46D857B85A;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;2;;;20260131;20260131;4E3581E67B;40D1C071C2;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;3;;;20260131;20260131;4E3581E67B;10472E0065;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;4;;;20260131;20260131;4E3581E67B;E9E03FAE4D;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;5;;;20260131;20260131;4E3581E67B;F6FFF274A8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;6;;;20260131;20260131;4E3581E67B;DDF92E24A3;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;7;;;20260131;20260131;4E3581E67B;FE0A9385E0;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;8;;;20260131;20260131;4E3581E67B;5629931CCB;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;9;;;20260131;20260131;4E3581E67B;FF479EF05E;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;10;;;20260131;20260131;4E3581E67B;2213CAE9B3;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200374/26;11;;;20260131;20260131;4E3581E67B;9EC0E716CD;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;37062;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200375/26;1;;;20260131;20260131;4E3581E67B;4C8DAF2A37;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;171554;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200375/26;2;;;20260131;20260131;4E3581E67B;CE6D0BAAFF;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;171554;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200376/26;1;;;20260131;20260131;4E3581E67B;260E4D5C16;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;198300;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200377/26;1;;;20260131;20260131;4E3581E67B;E98F86EA80;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;215875;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200378/26;1;;;20260131;20260131;4E3581E67B;FCF452675C;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;194097;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200378/26;2;;;20260131;20260131;4E3581E67B;2BBE86AA0A;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;187983;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200379/26;1;;;20260131;20260131;4E3581E67B;04377FE4F5;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;12227;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200379/26;2;;;20260131;20260131;4E3581E67B;39B48C8FA3;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;12227;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200379/26;3;;;20260131;20260131;4E3581E67B;161736D051;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;12227;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
