ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON;Unnamed: 39;Unnamed: 40;Unnamed: 41
HG;23/26;1;;;20260106;20260106;C62D4F60A8;1,63E+16;;PL03;;;;PL/5977;;;;;;;1;1;9005;9005;2;1143754;1021864;;EUR;PLN;385.18;110140;;PL;;;CAC7A4FAFC;10;;;
HG;200199/26;1;;;20260106;20260106;EC008E6958;DA91A64726;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;56933;32716;;EUR;PLN;385.18;110371;;PL;;;CAC7A4FAFC;10;;;
HG;200200/26;1;;;20260106;20260106;FC0125A951;D0D6B182D0;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;118705;68060;;EUR;PLN;385.18;110371;;PL;;;CAC7A4FAFC;10;;;
HG;24/26;1;;;20260106;20260106;7FC80E7C35;5A69272124;;PL03;;;;PL/2129;;;;;;;1;1;9005;9005;1;3958880;3180045;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200201/26;1;;;20260106;20260106;9A5DF9222E;D712589D5A;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;457209;444011;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200201/26;2;;;20260106;20260106;035A7E7188;D712589D5A;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;2034521;1803573;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200202/26;1;;;20260106;20260106;E84481DAFD;22C91E889A;;PL03;;;;PL/6987;;;;;;;1;1;9005;9005;1;2449109;2083539;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200203/26;1;;;20260106;20260106;D7334152E1;52258C6904;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;1375863;1278888;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200204/26;1;;;20260106;20260106;AB888B21AA;D887455056;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;1708273;1459504;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200205/26;1;;;20260106;20260106;9A5DF9222E;ED72C649BF;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;444883;423573;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200206/26;1;;;20260106;20260106;AB888B21AA;788FC74734;;PL03;;;;PL/2334;;;;;;;1;1;9005;9005;1;1803798;1459504;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;200207/26;1;;;20260106;20260106;9A5DF9222E;82D70A23D4;;PL03;;;;PL/852;;;;;;;1;1;9005;9005;1;472231;444011;;EUR;PLN;385.18;110174;;PL;;;CAC7A4FAFC;10;;;
HG;25/26;1;;;20260107;20260107;110052EF61;C70F85E262;;PL01;;;;PL/1172;;;;;;;1;2;9005;9005;100;570688;365318;;EUR;PLN;384.82;210244;;PL;;;8DC236D6E4;;;;
